# If_outlier, Correct_cluster_id, Damage_fields
1,0,[9]
1,1,[5, 8]
1,0,[8, 9]
0,0,0
1,1,[9]
1,0,[8, 9]
0,0,0
1,2,[5]
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[5, 9]
1,3,[9]
0,0,0
0,0,0
0,0,0
1,1,[7]
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,1,[2, 3, 7, 8]
0,0,0
1,1,[5, 9]
1,0,[9]
0,0,0
1,1,[9]
1,0,[9]
1,1,[9]
0,0,0
1,5,[9]
0,0,0
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,1,[8]
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,3,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,2,[9]
0,0,0
1,1,[9]
1,0,[8, 9]
1,0,[7]
1,1,[5, 8]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
1,1,[9]
1,0,[9]
0,0,0
0,0,0
1,0,[9]
1,1,[5]
0,0,0
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,3,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
1,1,[9]
1,0,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,5,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,3,[8]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[9]
1,5,[9]
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
1,1,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
1,5,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
1,3,[9]
0,0,0
0,0,0
1,1,[9]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,[9]
1,1,[9]
0,0,0
1,5,[9]
1,2,[7, 9]
1,0,[9]
1,1,[7, 9]
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
0,0,0
1,0,[9]
1,0,[9]
0,0,0
0,0,0
1,0,[9]
1,0,[9]
1,1,[9]
1,3,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,0,[9]
1,1,[9]
1,5,[9]
1,0,[9]
1,0,[7, 9]
0,0,0
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
0,0,0
1,0,[9]
1,1,[9]
1,0,[9]
0,0,0
0,0,0
0,0,0
1,1,[9]
0,0,0
1,1,[9]
1,5,[9]
0,0,0
1,0,[9]
0,0,0
0,0,0
0,0,0
